title,website,operator_address,acc_address,cons_address,percent_power,power,self_stake,fee,blocks_proposed,delegators,power_24_change,governance_votes
kochacolaj,https://blog.cosmos.network/game-of-stakes-closing-ceremonies-eddb71d3b114#147d,cosmosvaloper1emaa7mwgpnpmc7yptm728ytp9quamsvu837nc0,cosmos1emaa7mwgpnpmc7yptm728ytp9quamsvuz92x5u,1E9CE94FD0BA5CFEB901F90BC658D64D85B134D2,0.1,184944.114566,5000,1,16244,20,0.263544,16
MathWallet麦子钱包,https://mathwallet.org,cosmosvaloper1x065cjlgejk2p2la0029akfvdy52gtq9mm58ta,cosmos1x065cjlgejk2p2la0029akfvdy52gtq970qj8w,955A47C8AC8632825DD475E90913D40AB09D3FB4,0.09,168969.2256739168378931,1.2,0.1,8404,104,0.1255,0
Stir,https://stir.network,cosmosvaloper1d0aup392g3enru7eash83sedqclaxvp7fzh6gk,cosmos1d0aup392g3enru7eash83sedqclaxvp7vkr0y9,818964B4FB36D28109C3E853778B33231B27C5FC,0.09,166235.8991860536518544,10821.0821016920814713,0.1,12574,224,21.833035,8
Stake Capital,https://stake.capital,cosmosvaloper1k9a0cs97vul8w2vwknlfmpez6prv8klv03lv3d,cosmos1k9a0cs97vul8w2vwknlfmpez6prv8klv29tea7,FA0E5DFACCDCF74957A742144FE55BE61D433377,0.09,178158.3875383512956133,0.443253,0.08,22183,155,-2565.000418,1
AIR DROP STATION,,cosmosvaloper1485u80fdxjan4sd3esrvyw6cyurpvddvzuh48y,cosmos1485u80fdxjan4sd3esrvyw6cyurpvddv8grqth,7E62F46CBCE9FB1DE5446006D6D2EEFB82348DA0,0.09,176946.027461,1,0,255,299,3023.552303,1
Huobi-1,https://www.huobi.com/,cosmosvaloper12w6tynmjzq4l8zdla3v4x0jt8lt4rcz5gk7zg2,cosmos12w6tynmjzq4l8zdla3v4x0jt8lt4rcz5dz2hye,4AF69D6A5436C30E3584C1628433DE55E758BCCA,0.09,181248.0391955996729593,2,0.01,96370,805,5.678623,2
SmartStake 0% till Apr 2022,www.smartstake.io,cosmosvaloper18extdhzzl5c8tr6453e5hzaj3exrdlea90fj3y,cosmos18extdhzzl5c8tr6453e5hzaj3exrdleaqma8ah,12C2AA0DE66FA3F9D664D03D5D6F6D8216B6DA81,0.09,171841.768128,1556,0,1067,2389,228.31141,1
Castlenode,https://www.castlenode.com/cosmos,cosmosvaloper1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z52uzay,cosmos1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z37gh3h,9EE94DBB86F72337192BF291B0E767FD2729F00A,0.09,178910.459822,1,0.09,41731,1674,78.333288,3
KIRA Staking,https://kiracore.com,cosmosvaloper16qme5yxucnaj6snx35nmwze0wyxr8wfgqxsqfw,cosmos16qme5yxucnaj6snx35nmwze0wyxr8wfg9jy49a,6F322BAF5D73D5C77271941901B1D866476D5C90,0.08,161877.123657,1,0.09,21055,144,-5.768808,2
notional,,cosmosvaloper1083svrca4t350mphfv9x45wq9asrs60cdmrflj,cosmos1083svrca4t350mphfv9x45wq9asrs60cg0hunp,1BB296700D6FCF2318AADA2D098E4D40479B6C7E,0.08,158551.993853,3528.044186,0.0969,731,301,34.74,7
Any Labs,https://anylabs.io,cosmosvaloper1648ynlpdw7fqa2axt0w2yp3fk542junl7rsvq6,cosmos1648ynlpdw7fqa2axt0w2yp3fk542junlmhyevf,B4999CD535E4CD32B590BEB47020A724F40B65E5,0.08,151159.3117716857147921,1.0001008783659942,0.02,35806,523,-4269.130941,0
Blockscale,https://blockscale.net,cosmosvaloper1s7jnk7t6yqzensdgpvkvkag022udk842qdjdtd,cosmos1s7jnk7t6yqzensdgpvkvkag022udk8429exc87,4E9CB39F4B1FA617339744A5600B62802652D69C,0.07,141257.2931974047419704,15035.6559389832778722,0.25,9829,54,18.593344,3
cros-nest,http://www.cros-nest.com,cosmosvaloper1fsg635n5vgc7jazz9sx5725wnc3xqgr7awxaag,cosmos1fsg635n5vgc7jazz9sx5725wnc3xqgr7c6jg3m,BBE55ED9B2E416E2B37C13BBEE9CD6E7AE314716,0.07,134914.298117,1147.900001,0.02,679,1585,-514.391611,1
Moonstake,https://www.moonstake.io/,cosmosvaloper125umsz3fws7gepn5ccsh0sv4gre9r6a3tccz4r,cosmos125umsz3fws7gepn5ccsh0sv4gre9r6a3wvvhes,2A9135E88160AF052C9ABBB3F6301D7D99E23848,0.07,136702.3808609885944227,1,0.03,7572,1212,1075.574786,0
Cosmos Suisse,https://cosmos-suisse.com,cosmosvaloper1p650epkdwj0jte6sjc3ep0n3wz6jc9ehh8jutg,cosmos1p650epkdwj0jte6sjc3ep0n3wz6jc9ehjnxf8m,F55714243D32FB65B6D95A29D0350EA0CABBA8EA,0.06,119997.5632782746427662,10.9771940664348086,0.5,5580,383,4.45383,4
Rockaway Blockchain Fund,https://rbf.capital/staking,cosmosvaloper1thl5syhmscgnj7whdyrydw3w6vy80044hjpnxh,cosmos1thl5syhmscgnj7whdyrydw3w6vy80044jx4x2y,29067DFE3352A40481DB7D11EE44B10A10FC4290,0.06,118358.716142,1,0.06,348,39,31.0015,0
0% Fee to 2023 | Stakewolle.com,https://stakewolle.com/,cosmosvaloper1gf4wlkutql95j7wwsxz490s6fahlvk2s9xpwax,cosmos1gf4wlkutql95j7wwsxz490s6fahlvk2sqj4m34,D5EDC934314C89B45952620E9C992B1DC9018442,0.06,120451.584713,1,0,365,1634,1191.893248,1
POSTHUMAN∞DVS,https://posthuman.digital,cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,cosmos157v7tczs40axfgejp2m43kwuzqe0wsy0xcn5sl,B9ECE1D7B4DD80E868263EA3AAF272B9C7F1292D,0.06,116310.067119,1,0.01,350,3776,1990.181491,3
 CRAFT Airdrop Bonus | Lavender.Five Nodes 🐝,http://www.lavenderfive.com/,cosmosvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zfd832j,cosmos140l6y2gp3gxvay6qtn70re7z2s0gn57zvenyxp,C5327D64CDF4A04BE1206E65F5B61D44923630E6,0.06,119457.136212,8,0.05,276,1581,1188.13383,0
tokenweb,https://tokenweb.io,cosmosvaloper1kgquh04ffqvadekf6e47070gskm0s0h28cl7ht,cosmos1kgquh04ffqvadekf6e47070gskm0s0h2zvttmc,99304AA9AEEC13FCEF0FF72DFC8953273FE559BC,0.06,126717.9694414815190474,10.0100164171352943,0.2,3794,49,0,0
Bison Trails,bisontrails.co,cosmosvaloper1crqm3598z6qmyn2kkcl9dz7uqs4qdqnr6s8jdn,cosmos1crqm3598z6qmyn2kkcl9dz7uqs4qdqnrlyn8pq,846BE4F39E3122D2A2D3FE5454E2561073E95538,0.05,108840.559492922701715,16321.6007569047776371,0.08,11423,696,43.934974,3
SmartNodes,https://smartnodes.one,cosmosvaloper1hdrlqvyjfy5sdrseecjrutyws9khtxxaux62l7,cosmos1hdrlqvyjfy5sdrseecjrutyws9khtxxaejwlnd,B4CC03F2ACA22C43DE1ED385A104BA86B7462792,0.05,97473.3352782064687494,55,0.05,360,1967,619.456375,2
Bi23 Labs,https://bi23.com,cosmosvaloper1hvsdf03tl6w5pnfvfv5g8uphjd4wfw2h4gvnl7,cosmos1hvsdf03tl6w5pnfvfv5g8uphjd4wfw2hsucxnd,874D6AA838384A79A3D4D062541F91BF7E31BDBA,0.05,100968.7679223904246976,21.0138188730381242,0.5,5111,88,5.418936,12
Tavis Digital,https://tavis-digital.com,cosmosvaloper10f9wkd6vdspac05djyfwfx0uxcqxapnqhnkcg8,cosmos10f9wkd6vdspac05djyfwfx0uxcqxapnqj8zdy5,569B09EA3D9607C5F1A38DED81CED264C7AA94CB,0.05,95413.360075,575,0.05,2237,571,11.48765,7
DappPub,https://dapp.pub,cosmosvaloper1wauge4px27c257nfn4k3329wteddqw7gs3n66u,cosmos1wauge4px27c257nfn4k3329wteddqw7g4980k0,AC885F3EE81E7ED07FE7B2E067443A855F997BA1,0.05,103067.6104900194605998,1.01,0.1,3235,56,0,1
1ED471CB34E3,,cosmosvaloper1fypv7c7z3auv7w48qn76538w55jdk66xt5a3lk,cosmos1fypv7c7z3auv7w48qn76538w55jdk66xwqfyn9,1ED471CB34E38311145098D80361434558F2F1C7,0.05,109831.894941,10,0.1,3262,29,0,0
dForce,,cosmosvaloper1cc99d3xcukhedg4wcw53j7a9q68uza707vpfe7,cosmos1cc99d3xcukhedg4wcw53j7a9q68uza70mc4u4d,84B3D8922BA2F24A39477EC14957991BE1AE7765,0.05,103143.031084,1,0.03,46,6,0,0
Dawns.World,https://dawns.world,cosmosvaloper1ktecz4dr56j9tsfh7nwg8s9suvhfu70qykhu5s,cosmos1ktecz4dr56j9tsfh7nwg8s9suvhfu70qpzrfcr,2CD6A3523F5D61573EF1E3654B421AD211CFE8DC,0.04,75362.9338525456286492,10002.0001009699938237,0.01,613,239,25.037387,14
StakeLab,https://www.stakelab.fr,cosmosvaloper1gpx52r9h3zeul45amvcy2pysgvcwddxrgx6cnv,cosmos1gpx52r9h3zeul45amvcy2pysgvcwddxrdjwdll,170FEFD6D7F4A69AAE70A24415FC4E2C928DE2E5,0.04,74506.428063,1.055,0.01,411,941,179.358449,2
	EZStaking.io,https://ezstaking.io,cosmosvaloper1gjtvly9lel6zskvwtvlg5vhwpu9c9waw7sxzwx,cosmos1gjtvly9lel6zskvwtvlg5vhwpu9c9wawmyjhz4,B236B2A23AD716A9D8D856A0CBA762F323515C5F,0.04,79538.067385,186.421577,0.01,243,702,60.694851,3
Tessellated Geometry,http://tessellatedgeometry.com,cosmosvaloper1fun809ksxh87nzf88yashp9ynjz6xkscrtvzvw,cosmos1fun809ksxh87nzf88yashp9ynjz6xkscxlchqa,A7D9E6DB8CA5E46A61AC36235D4C8185F7BF11A4,0.04,75151.3577393245404326,11.42873,0.05,2094,120,10.1,15
Newroad Network,https://newroad.network/cosmos/,cosmosvaloper1wp9jne5t3e4au7u8gfep90g59j0qdhpeqvlg7n,cosmos1wp9jne5t3e4au7u8gfep90g59j0qdhpe9ctajq,C4903229B9EAD415C79E8FA69D2BBA6117617C41,0.04,90239.134422,2.97,0.12,5264,107,0,3
SNZPool,https://snzholding.com,cosmosvaloper1s6x9fy4wc49wj9jx4jv6czredqsmp46h7vnk2q,cosmos1s6x9fy4wc49wj9jx4jv6czredqsmp46hmc8rxn,F919902709B7482F01C030E8B57BF93B8D87043B,0.03,63139.584678,10,0.1,17587,28,0,0
Just-Mining,https://just-mining.com,cosmosvaloper1wrx0x9m9ykdhw9sg04v7uljme53wuj03aa5d4f,cosmos1wrx0x9m9ykdhw9sg04v7uljme53wuj03cfqce6,D269A81C7741F458C31DB7FB14C58176421FB2F8,0.03,55465.4332668106483975,2,0.01,591,790,1322.417001,0
Validating Chaos - 🌌🖤 NFTs to delegators,,cosmosvaloper1kg99k8wd67r0ffxwavgnxup7yk46rvttxc53j7,cosmos1kg99k8wd67r0ffxwavgnxup7yk46rvttrvqy7d,C5F06BB9C9FA1A95C29BDA8C30D5DC7210AF2166,0.03,56381.0116542928209574,10233.9184016283389734,0.01,244,552,541.489672,4
Secure Secrets,https://securesecrets.org,cosmosvaloper15ytx6mflyrxynjerqlud6w646v6u3qvtjtfane,cosmos15ytx6mflyrxynjerqlud6w646v6u3qvthlagl2,024634CE97B8FC3F6C6964B9504295C87BD334F8,0.03,67601.50118,5,0.05,564,565,614.472634,3
MANTRA DAO,https://mantradao.com,cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,cosmos103agss48504gkk3la5xcg5kxplaf6ttnec7yey,00CCEECFD01B2D333A1B56ABF7CFF8A6B8ED25B1,0.03,62046.412784,888,0.02,556,1013,-20.228129,6
Blocks United | info@blocksunited.com,,cosmosvaloper1jmykcq8gylmy5tgqtel4xj4q62fdt49sl584xd,cosmos1jmykcq8gylmy5tgqtel4xj4q62fdt49s6qnq27,6E2234F881817A7DB997D59400518591F692A14C,0.03,60781.2061292580941582,500,0.02,287,1994,-264.086485,0
NEOPLY,https://neoply.io,cosmosvaloper142w8q2l0gxsfna72gq8t7e4ee4ul37e9htgtxx,cosmos142w8q2l0gxsfna72gq8t7e4ee4ul37e9jlu724,2C882D57565E86A9EEC3433B15025F8F96318453,0.03,65097.728372,1,1,1560,29,0,1
🤑 uGaenn ⛅,ugaenn.io,cosmosvaloper1wlpz5hau2ezu0gmuxav63m53d8s77az9wfzlt6,cosmos1wlpz5hau2ezu0gmuxav63m53d8s77az9tak28f,A3C7C04D620EAA337775F003B8D0981581676331,0.03,64977.933278,1.2,0.03,114,38,0,0
DLINODES.COM,“https://dlinodes.com”,cosmosvaloper1k4mtqv0y964set0ayr8e09r54mpqs4xfw0ysew,cosmos1k4mtqv0y964set0ayr8e09r54mpqs4xftms94a,F6CA0B14D98D69D1FAA1B19E250D03BEF7DD9541,0.03,63075.2356278060493469,0.0000008474078918,0.1,972,10,0,1
CryptoCrew Validators ✅,https://ccvalidators.com,cosmosvaloper14qazscc80zgzx3m0m0aa30ths0p9hg8vdglqrc,cosmos14qazscc80zgzx3m0m0aa30ths0p9hg8vgut40t,9713818DA540B2AD40CD3A821865F1CA288A1BAA,0.03,71071.397381,102.7,0.05,256,326,211.62906,3
Stakely.io,https://stakely.io,cosmosvaloper16yupepagywvlk7uhpfchtwa0stu5f8cyhh54f2,cosmos16yupepagywvlk7uhpfchtwa0stu5f8cyjrqq9e,BDB046259EB7FB74A28015E31E64CEE9F0802199,0.03,59083.203647,63,0.01,196,993,1827.869161,3
Nodeasy.com,https://www.nodeasy.com,cosmosvaloper1mykn77lkynl8fkwvl9tqg369u0zajzzcdhkptq,cosmos1mykn77lkynl8fkwvl9tqg369u0zajzzcgrz58n,EB1DF22507B79CE700F86C4C8B13D7DF01DFDA9C,0.03,66244.2552168877380464,100,0.1,5246,47,0,12
StarCluster,https://starcluster.tech,cosmosvaloper1ttfytaf43nkytzp8hkfjfgjc693ky4t3y2n2ku,cosmos1ttfytaf43nkytzp8hkfjfgjc693ky4t3p78l60,708FDDCE121CDADA502F2B0252FEF13FDAA31E50,0.03,68057.6594131248153233,2.000400069922596,0.15,4100,35,0,1
NASDAQ-BTCS,https://www.btcs.com,cosmosvaloper1tk2xujvwtn0q60u8xelh50u9xzqvrnpk4d00qj,cosmos1tk2xujvwtn0q60u8xelh50u9xzqvrnpksem6vp,4ED7CC4038833F2EA5AA3F4D44C581C8E7CBD862,0.03,60846.3299910030563378,60775.1750348797095664,1,140,39,3313.00106,0
DSRV,https://dsrvlabs.com,cosmosvaloper1wlagucxdxvsmvj6330864x8q3vxz4x02rmvmsu,cosmos1wlagucxdxvsmvj6330864x8q3vxz4x02x0cwu0,B2336DC86A74A6F8552D7F686AC0983EF4E0B0CE,0.02,46427.650143,4,0.1,198,80,16.676354,1
Virtual Hive,https://virtualhive.io,cosmosvaloper1zc0z44e42qhzltqc8qpj5qrzn836d3lftnqmgw,cosmos1zc0z44e42qhzltqc8qpj5qrzn836d3lfw85wya,906B072AEDA053B19643456E63DED233640D2D91,0.02,48052.601834,1,0.05,73,84,24.129345,0
Plural,https://plural.to,cosmosvaloper1uyccnks6gn6g62fqmahf8eafkedq6xq400rjxr,cosmos1uyccnks6gn6g62fqmahf8eafkedq6xq42mh82s,6748D632E00E5247C2262EFA96DE946D1AEEC32B,0.02,48803.449761,30,0.015,210,254,10.448981,1
Dominator,,cosmosvaloper1slt7tkd7srlaxnt8vk6uff7j3mc7pk233rs0r5,cosmos1slt7tkd7srlaxnt8vk6uff7j3mc7pk235hy608,68175AA8945608C0E6AA0EAC4284D62991407C2B,0.01,33073.6124025838567816,1,0.15,416,24,0,0
Jerry's Pool,https://pool.jerrychong.com,cosmosvaloper1ukpah0340rx7k3x2njnavwyjv6pfpvn632df9q,cosmos1ukpah0340rx7k3x2njnavwyjv6pfpvn657eufn,108E47FC1B8546F98F7EA52F2547CC44497DB1BF,0.01,19165.628575,1,0.01,142,893,-418.900622,5
Cryptium Labs,https://cryptium.ch,cosmosvaloper1kj0h4kn4z5xvedu2nd9c4a9a559wvpuvu0h6qn,cosmos1kj0h4kn4z5xvedu2nd9c4a9a559wvpuvemr0vq,F4CAB410DE5567DB203BD56C694FB78D482479A1,0.01,23871.7383021545775682,2.0002000252271212,0.11,37217,158,0,3
Foundry-USA,https://foundrystaking.com,cosmosvaloper1awguwfrm22sh7yewkywrjujukc75a3r3tpwfyp,cosmos1awguwfrm22sh7yewkywrjujukc75a3r3w46ugj,657196A05B7ECE77CC2B96A4EF6BD45D4E2FD5C5,0.01,34999.530298,34991,0.1,2,11,-66.770201,0
SIGN Capital,http://SIGNcapital.eu/,cosmosvaloper1r50v53ua3mgfczlgf6jclycx2edcsaaftfjzs6,cosmos1r50v53ua3mgfczlgf6jclycx2edcsaafwaxhuf,EE026B4D87F7D45E5C21CA73A198CA3D31888B84,0.01,33050.000001788650869,50,0.07,0,11,0,0
Firmamint,https://www.firmamint.io/,cosmosvaloper19kwwdw0j64xhrmgkz49l0lmu5uyujjayxakwsn,cosmos19kwwdw0j64xhrmgkz49l0lmu5uyujjayrfzmuq,4906F2A5334D906A4C63F9E9D61527A9F593C4EF,0.01,33303.862238,0,0.15,13273,15,0,5
Valnodes - Carbon Neutral Staking,https://www.valnodes.com,cosmosvaloper1ky5k0305lm4t4xa72a2g5ahfdzqxnwx358agra,cosmos1ky5k0305lm4t4xa72a2g5ahfdzqxnwx33nfa0w,76A8A9A8151255E9E69E89499CFE9CB86FD02372,0.01,19362.7424086932428196,31.0005000222794609,0.01,78,351,-5.75257,1
Certify Network,http://certify.live,cosmosvaloper15jlcxs57cku65nrve3hfjlmcr8kaavxcn30mz2,cosmos15jlcxs57cku65nrve3hfjlmcr8kaavxck9mwwe,F98F5FB8986D25B7B6FD694FA33190AD7D380DDB,0.01,33001.2005179981096896,1.2,0.1,0,7,0,0
OurLink | ValidatorNode,https://www.validatornode.net,cosmosvaloper14cqu95wlx54dzujzkyd0023t8g73ll7jpfm3pc,cosmos14cqu95wlx54dzujzkyd0023t8g73ll7jya0ydt,02B70DA33EDBA320C8EC3B336A32D29DA9BA2515,0,3,3,0.025,0,1,0,0
HelloPool,https://hellopool.io,cosmosvaloper1unap36cmuaxsmgtshm893hjkneta5vp6udzc0j,cosmos1unap36cmuaxsmgtshm893hjkneta5vp6eekdrp,64D718F0FA63A11DE32E28EF004FD376DC5335F1,0,100,100,0,0,1,0,0
codeb2cc,,cosmosvaloper1u5lcptf9kpw6psqg5xyr80t5d9l70lvcyg555w,cosmos1u5lcptf9kpw6psqg5xyr80t5d9l70lvcpuqpca,98F95CDDCEB0C69506D609EB4745AD97C9F828AF,0,2.5000000000004001,1.5,0.1,0,2,0,0
DO NOT STAKE | Bity.com,https://bity.com/,cosmosvaloper1uv26ytrnmydyctq0s58ve2k6wn2p653mqs80fm,cosmos1uv26ytrnmydyctq0s58ve2k6wn2p653m9yn69g,991B742CC8660B40321F77873644C195195D4178,0,27.002066,0,0.1,0,4,0,0
Bison Trails,https://bisontrails.co,cosmosvaloper1uxh465053nq3at4dn0jywgwq3s9sme3la3drx6,cosmos1uxh465053nq3at4dn0jywgwq3s9sme3lc9ek2f,CA6696F5FE66A480BF21460319BE979930852DD0,0,18212.291982,0,0.1,9877,9,0,0
airdropdao,,cosmosvaloper1kqld7f3tu3ha5ht3qv2rq9ac9683d3xf356rc9,cosmos1kqld7f3tu3ha5ht3qv2rq9ac9683d3xf5qwk5k,5D9E8475949904BBC8B70C42231FC1044E40EE12,0,51.008,1,0.003,0,2,0,0
Sanka Network,https://www.sanka.network,cosmosvaloper1uyt0yuv7cz7ppwefl9ths336ln7ysvg2jlj76t,cosmos1uyt0yuv7cz7ppwefl9ths336ln7ysvg2htxtkc,4D2C8245ABF4B85835CB882EEE142B13A00ACDB5,0,52.96625,0,0.1,0,7,0,0
この素晴らしい世界に祝福を,https://konosuba.fandom.com/wiki/Eris,cosmosvaloper1urtpxwfuu8k57aqt0h5zhsvmjt4m2mmdr0juzg,cosmos1urtpxwfuu8k57aqt0h5zhsvmjt4m2mmdxmxfwm,8328647F309C8AA148CDA5595145E13E455CA704,0,2,1,0.15,0,3,0,0
F4RM,,cosmosvaloper14az9dmutwtz4vuycvae8csm4wwwtm0aumtlppe,cosmos14az9dmutwtz4vuycvae8csm4wwwtm0au7lt5d2,9D07B301D23C547266D55D1B6C5A78CA473383A1,0,480.4670316398058527,0.0000001332118115,0.2,29861,29,0,0
Bumblebee__🐝,http://dahuangfeng.online,cosmosvaloper1hf8a9yg6yswtj8lgchlr76mcenj2nd7a0e6z0z,cosmos1hf8a9yg6yswtj8lgchlr76mcenj2nd7a2dwhr3,8EDE8BA95DC8D63637888B3B734895317959B34D,0,1.2672228590399034,0.0895188320900823,0.13,1,3,0,0
MEET.ONE,,cosmosvaloper1u724thtn8z47nw9nvel367m3qh0gqnxe4g555a,cosmos1u724thtn8z47nw9nvel367m3qh0gqnxesuqpcw,7478093BFDBB0F53F689DB75DA89042879779D6C,0,0.228834,0,0.1,0,3,0,0
SpacePotato,https://spacepotayto.carrd.co/,cosmosvaloper1up3slj4nr5y23gxkvqn8h5ra9mv0pj2vrh0djk,cosmos1up3slj4nr5y23gxkvqn8h5ra9mv0pj2vxrmc79,3EA7D4AEA0824813B7B448B5A54F01DB23EF8650,0,8.7,1.5,0,0,2,0,1
PlatON,https://cosmos.network,cosmosvaloper1asazdfn60g4nakccc9leh37du0946l5fnnluy6,cosmos1asazdfn60g4nakccc9leh37du0946l5fk8tfgf,F9F2CDA36893AE2B6719F0CC0EAEAB0D8C25B94C,0,9.99,9.99,0.1,0,1,0,0
btd,,cosmosvaloper17zcpywlhgcpk7ff505vr8mnc4wwpv5fcta6enz,cosmos17zcpywlhgcpk7ff505vr8mnc4wwpv5fcwfwvl3,543F3E1967D29248CEA37196A2C052768D2FEECA,0,1.0010040000999098,1,0,0,3,0,0
WALLAKIA,http://wallakia.com,cosmosvaloper143g8ag20zg42z7h2j3dszw52ac6alyv876p2q8,cosmos143g8ag20zg42z7h2j3dszw52ac6alyv8mw4lv5,EE4627BB2B2754D1A909C8683133123C827A5F3D,0,1.01,1,0.07,0,2,0,0
ChainPartners,,cosmosvaloper174glllafa668rcr2qzf5m0844ve60h0urf3h6u,cosmos174glllafa668rcr2qzf5m0844ve60h0uxa9zk0,8382A12C7C9CCCC3ACC016E482E6652473B65E2E,0,10.00000300010001,9,0.03,0,5,0,0
topool,http://topool.io,cosmosvaloper17cy09npjq4sylkt56kwcuqcd74hlxj3fq4hwjd,cosmos17cy09npjq4sylkt56kwcuqcd74hlxj3f9prm77,E6A3801926BC5F83761C4ADF88263F88195FDD5B,0,0.0193198954919059,0.0000001727003409,0.2,66,6,0,0
Event Horizon,,cosmosvaloper177cagfvevhhr4uv7fhw3n79e0jv8e96cdyc3wd,cosmos177cagfvevhhr4uv7fhw3n79e0jv8e96cgsvyz7,077D40887972674670DC41529F2B0CBE27C25AB3,0,1,0,0.15,0,1,0,0
CosmosLink,,cosmosvaloper1l9fwl9c77zx850htsr20pq3ltc379xt86ndelm,cosmos1l9fwl9c77zx850htsr20pq3ltc379xt8l8evng,7CAB2B15C7F0238619A65D8833EEB53942552651,0,330.5373789222933997,1,0,178,514,0,0
Cosmoon,https://cosmoon.org/,cosmosvaloper1402ggxz5u6vm29sqztwqq8vxs3ke6dmwl2z5dk,cosmos1402ggxz5u6vm29sqztwqq8vxs3ke6dmw67kpp9,3C10595A924D457175CFB7DAADAD8156789B6A7E,0,1.0001100016255364,0.9,0,91,14,0,0
hoo.com,https://hoo.com,cosmosvaloper1l5rgg6k87m6x5hl50xg5q7t680d672z87gzd7a,cosmos1l5rgg6k87m6x5hl50xg5q7t680d672z8mukcjw,55D20C43E436C7E1A1261B8961FE715EE697A35A,0,10501.138004,10501,0.03,0,3,0,0
My Basement Validator,,cosmosvaloper1lc4wdzlvryg7fk9fc39d3yceu56gv4ea4jet3z,cosmos1lc4wdzlvryg7fk9fc39d3yceu56gv4easxd7a3,BC7A48C5AF531BCE41BAE5C4304D274CADE5703E,0,1.1,0.1,0.5,0,2,0,0
StakeHouse,stakehouse.org,cosmosvaloper1l6udzyaz8xaxv4hpagwauacm95jlcec3xlht2u,cosmos1l6udzyaz8xaxv4hpagwauacm95jlcec3rtr7x0,D8F0BEDE91D3FE4DD827619499EBA5CECC76FE21,0,1.5000069795884056,0.0000009894682579,0.01,147,16,0,1
Masternode24.de,https://masternode24.de,cosmosvaloper1lmu2hvm0prpkmacy7lw9uy3wp7fescmsuevrc9,cosmos1lmu2hvm0prpkmacy7lw9uy3wp7fescmsedck5k,83A35AFCA731116F1ED8F94483592C537EA262F6,0,20.426247399825013,0.0000009980238155,0.01,5,47,0,0
endgame,,cosmosvaloper1awqm5sweq0z3uyl49ge7rcxpd5lpeln3ldnapc,cosmos1awqm5sweq0z3uyl49ge7rcxpd5lpeln36e8gdt,E357799C961CB1728B50117889CA1BE606E30A12,0,1,0,0.1,0,1,0,0
lino-network,,cosmosvaloper1mrnrqgl4d5hqsfdcgnjfarjnlk43rs89gyz94x,cosmos1mrnrqgl4d5hqsfdcgnjfarjnlk43rs89dskse4,D80216C527563F1CCE166C0DECA7B23442B2FE35,0,46.001,2.001,0.1,0,3,0,0
mcb,,cosmosvaloper1m4sufdf3587q2m8lv2482pj4yxjfvhfqseq5xg,cosmos1m4sufdf3587q2m8lv2482pj4yxjfvhfq4d5p2m,F78B83AF488B73F9699C3C62928A1F4608C6ED5C,0,24,24,0.1,0,0,0,0
mr.tukutuku validator,,cosmosvaloper1cew4f2acglytrdsdewk7kv3v8ycxd89z28jel6,cosmos1cew4f2acglytrdsdewk7kv3v8ycxd89z0nxvnf,3E5CEC9CACF36087F8D0385CDE37AEA765E60724,0,1.0000007150787535,1,0.01,0,1,0,0
FishKing,,cosmosvaloper1hwu4wp5y47d2ntm3std5xeygqnqua3ekcpzp0v,cosmos1hwu4wp5y47d2ntm3std5xeygqnqua3eka4k5rl,F0FD2B6D9D17FCBFA25DB1280D490D36432475D2,0,4,4,0.05,0,1,0,0
DUAL.systems,https://cosmos.dual.systems,cosmosvaloper1kmvhdc3p57q4pwsn2txaluvuxfugeg39zqj783,cosmos1kmvhdc3p57q4pwsn2txaluvuxfugeg3985xttz,DC4DE8D85B236B654A6965DD58EC871CDCC07A75,0,1.0111121112111211,1.0111121112111211,0.02,0,1,0,0
infstones,https://infstones.io,cosmosvaloper1hj795mnfrvesljfw7kev938tagumezammnasa3,cosmos1hj795mnfrvesljfw7kev938tagumezam78f93z,CCCE1D6422FBC230D99555A36CE74B80B0AC7DF9,0,1.0001,1.0001,0.1,0,1,0,0
Mr.Robot🤖️,https://github.com/Manisso/fsociety,cosmosvaloper1ke26kzj9qsvp8qy39dzrhf0rvhtd807c456kmu,cosmos1ke26kzj9qsvp8qy39dzrhf0rvhtd807csqwrh0,F1D7F617998384C7511ED1479BBE8979A9102C90,0,0.000001,0.000001,1,0,0,0,0
Atom Sandler,,cosmosvaloper1cql9ska0xl2rkg6gcv0np4333gn6fygs55asrs,cosmos1cql9ska0xl2rkg6gcv0np4333gn6fygs3qf90r,D3DB7197312CD60A71E291A66D430B20D197CF41,0,4.0641613077715127,0.061764,0.25,0,12,0,0
ATOMI,https://atomii.modoo.at,cosmosvaloper1kculeejzmnac8lezfpg9ulkj5gfy5tuf9ez29w,cosmos1kculeejzmnac8lezfpg9ulkj5gfy5tufqdklfa,EB83D7FEE766BED6F4A3465B2C38D19C890C224E,0,4.027959,0,0.05,0,6,0,0
